#gene	sample1	sample2	sample3	sample7	sample8	sample9
anise	1063	3625	1277	5388	4422	3255
apricot	444	957	749	960	551	652
artichoke	84449	95718	125430	2873	4699	1760
arugula	3432	3808	4828	4494	4936	3686
asparagus	80754	87527	54162	1096	1056	2131
avocado	63034	45083	61524	722	566	724
banana	3576	3706	2179	3069	2519	1477
basil	922394	381785	420413	7203	4416	10875
beet	43179	32380	9777	520	475	251
blackberry	1532645	1815134	1623618	13547	10549	16329
blueberry	91064	179107	167127	4430	1952	1880
broccoli	1015	470	3959	1031	2486	1425
butternut	213244	259081	412576	7922	6151	8437
cabbage	5535	7107	7235	7483	2786	3672
cantaloupe	2851	3598	3461	5833	3073	3566
caraway	2672	3740	3832	7138	3393	2780
carrot	5220	4865	6931	10037	14470	10518
cauliflower	253242	349663	196664	1671	3046	5828
cayenne	130314	693368	240603	2608	4354	4946
celery	6988	8654	8074	7444	9986	11599
chard	858	1279	1642	16	35	21
cherry	6249	3163	3032	7266	3801	5145
chestnut	403877	221885	233626	2014	2397	3473
chickpea	4550	6197	7412	8872	4468	13276
cilantro	29	31	22	32	22	43
clementine	378389	78916	69623	1804	2202	2540
coconut	2080	3298	3675	1996	2085	4247
coriander	297755	584149	692216	16573	10185	5058
cranberry	2368	2746	4601	12764	7391	6444
cucumber	391	142	223	90	182	232
currant	193245	224832	104428	4647	1297	4108
eggplant	793	479	522	872	508	355
elderberry	680	2773	794	1190	2843	1488
endive	1000	845	361	1075	124	897
fennel	324048	125371	429149	1253	3405	2751
fig	254261	279430	511675	2935	3060	2992
garlic	101450	94384	116652	1095	850	1073
ginger	55	187	88	233	187	150
gooseberry	19121	22296	16377	311	133	127
grape	4229	4985	4801	50	82	100
grapefruit	24536	22025	38613	175	72	195
guava	409322	217694	392891	9882	6900	3544
honeydew	101	135	84	220	157	261
horseradish	101949	381234	253449	1910	3728	2178
huckleberry	14282	36340	11989	353	292	117
juniper	34077	63375	44792	582	438	683
kiwi	13170	21642	26694	244	289	125
kohlrabi	23351	53218	57344	388	270	315
lavender	239472	386372	808580	6184	6041	6048
leek	832	606	807	1794	1044	524
lentil	449172	880913	526633	4096	12744	7530
lettuce	140366	212020	229552	2290	2651	1486
lime	1830	3936	2519	6746	6420	4486
maize	590	676	902	984	786	590
mango	1863	1235	1193	734	2055	1957
melon	105849	381172	446625	8831	4089	2266
mulberry	466060	267769	359759	1827	3372	4167
mushroom	504	863	716	1089	778	1151
mustard	675962	170304	482092	2581	5202	2337
nectarine	1858	954	1627	5319	2694	4275
okra	8506	8942	10656	6056	9457	8617
olive	37456	49009	16684	643	291	613
onion	7364	3931	9798	3031	4035	10467
orange	6885	2100	3273	1149	5708	3595
oregano	1714	1365	2205	2016	3672	3879
papaya	1319	1065	535	996	1356	1696
parsley	1400915	802742	364601	15310	13768	6052
parsnip	2292	2531	1077	3676	2260	2839
pea	118236	136014	193514	2997	3397	1773
peach	1026	1315	897	1290	1249	1455
pear	2101	1315	2005	1632	2407	4264
pepper	111987	65597	150846	1096	1841	1289
persimmon	596	1490	367	1561	845	1121
pineapple	94104	104576	102541	2569	3871	1733
plantain	11454	3609	3956	119	107	87
plum	139530	97319	100475	803	729	959
pomegranate	3793	6860	6818	105	106	90
potato	80438	119082	259503	1264	2307	1810
pumpkin	206270	190553	122264	2471	1162	2528
quince	1887	6749	5690	7756	3636	10892
radish	406	186	175	396	219	281
raisin	101135	211516	302553	4515	3400	3652
raspberry	438763	296519	407944	2277	2186	5154
rhubarb	496	980	546	956	1175	1276
rosemary	61809	60644	40526	439	532	223
rutabaga	79760	55917	105881	1566	1428	1990
sage	6341	4992	8921	3484	5544	2646
scallion	612	1135	1339	941	742	1855
spinach	3728	4338	6386	8253	5561	3987
strawberry	1619	1047	2566	2004	2349	2520
tamarind	39097	50495	95353	605	1114	586
tangerine	134	79	72	151	63	98
thyme	164	408	394	379	467	267
tomato	5084	7774	6723	3285	5029	3188
turnip	109500	212695	113051	3660	4600	3759
wasabi	5834	2462	1261	3167	3908	6520
watercress	62903	44198	88835	698	1430	688
watermelon	2684	1752	2170	1803	1601	1307
yam	6571	1401	3903	4946	3727	4054
zucchini	8057	8336	12171	4619	9576	13994
OR4F5	1218	1469	2412	3963	3223	2812
FO538757.2	1644	1750	1043	1656	770	1594
FO538757.1	1316	2897	1797	2622	1034	1257
OR4F29	5393	9856	11562	4788	11525	8213
OR4F16	933	552	479	311	265	929
SAMD11	2074	1166	1180	2045	1854	709
NOC2L	500	695	640	1504	1569	414
KLHL17	1099	1065	1256	2099	1419	682
PLEKHN1	1803	2351	2437	3392	4653	2468
PERM1	831	651	851	1440	1841	1376
HES4	1554	5389	6649	12865	6557	5399
ISG15	1433	1996	3282	6870	5993	3735
AGRN	1062	751	1141	1195	1730	773
RNF223	888	1714	1088	1243	1502	1293
