#cell        type      caraway         kiwi
0               3           37           18
1               1         5623          846
2               4         2923           30
3               2          665          241
4               2          156          173
5               2          306          189
6               3           20           47
7               2          189          157
8               3           50           27
9               1         1802         3477
10              3           13           29
11              4          807           14
12              3           34           54
13              1         2978         3886
14              2          122          193
15              4         1900           66
16              2          132          118
17              1         2458          547
18              2          409          192
19              2          165          168
20              2          430          459
21              1         4163         1112
22              4         3286           69
23              2          371          346
24              2          132          338
25              1         2789         1350
26              0           10         2754
27              4         2404           56
28              3           24           82
29              2          569          479
30              2          589          596
31              2          322          427
32              1         1753         2426
33              4         2112           21
34              4          700           32
35              0           30         1652
36              2          487          255
37              0           36          748
38              1         3324          886
39              2          306          305
40              2          283          173
41              2          359           53
42              0           69          456
43              2          209          336
44              3           39            9
45              3           31           54
46              4         2510           23
47              2          214          342
48              4         1289           37
49              2          179          522
50              3           42           37
51              2          367          120
52              1         2372         1744
53              2          175          297
54              2          236          473
55              0           49         3521
56              2          152          425
57              4         1365           39
58              2          437          372
59              2           74          411
60              4         1887            9
61              2           87          258
62              1         2681         1185
63              2          443           60
64              1         1467         1865
65              2          482           81
66              3            8           49
67              1         1733         1367
68              2          315           21
69              0           27         2044
70              1         2087         1977
71              2          439          353
72              3           31           18
73              2          170          103
74              4         1003           63
75              2           37          138
76              0           24         5522
77              3           47           34
78              2          325          109
79              1         1976         1470
80              0           23          887
81              2          467          241
82              3           14           10
83              3            9           71
84              1          758         3651
85              2          108          420
86              3           13           19
87              1         2674         4345
88              3           21           51
89              4          711           44
90              1         2429         1704
91              1          542         1691
92              2          303          440
93              2          322          188
94              0           24         2992
95              2          195          309
96              3           32           32
97              3           35           31
98              2          164          186
99              3           54           77
100             2          218          253
101             2          440          183
102             2          432          146
103             2          253          100
104             0           26         1433
105             1         3121         3046
106             3           15           47
107             0           48         3572
108             2          574          303
109             2          381          419
110             2          236          334
111             1         1399         1210
112             2          284          309
113             3           22           16
114             1         1378         1784
115             1         1591         3236
116             2          198          193
117             1         2030         1096
118             4         8633           15
119             3           27           12
120             2          471          223
121             3           25           11
122             2          291          315
123             3           14           28
124             3            6           30
125             3           28           23
126             2          353          160
127             2           79          209
128             3           18           79
129             0            7         2137
130             1          926         1847
131             3           38           15
132             3           38           63
133             1         1435         1858
134             1         1045         2183
135             1         2103         2400
136             2           94          257
137             3           54           26
138             0            6         2475
139             2          397          231
140             1         1812         1872
141             2          541          554
142             4         3021           51
143             1         2068         2789
144             2          177          299
145             3           11           64
146             4          729           28
147             3           22            6
148             1          278         1540
149             3           58           57
150             1         3029         2748
151             4          484           22
152             4          274           15
153             2          295          263
154             3           63           12
155             2          657          659
156             2          321          199
157             2          399          371
158             0            6          305
159             1         1734         2535
160             1         2307         1300
161             2          223           63
162             1         1667         2368
163             2          309          264
164             2           75           81
165             3           14           10
166             1         2510         3293
167             3           23          104
168             1         4821         2996
169             3           24           34
170             2          626          381
171             1         1622         1555
172             4         1067           32
173             4         1743           60
174             2          222          661
175             2          500          293
176             3           22           14
177             2          139          163
178             1         8902          801
179             1         1504         1359
180             2          229          423
181             2          237          231
182             3           29           28
183             2          355          337
184             2          144          448
185             0           20         4489
186             2          185          251
187             4         1263           29
188             2          236          536
189             3           61           43
190             2          174           86
191             1         3990          845
192             3           42           10
193             1         3117         2192
194             2          319          475
195             4         1465           33
196             0           64          271
197             2          349          433
198             2          608          108
199             2           67          252
200             1         3086         2568
201             2          369           89
202             2          353          404
203             2          364          327
204             3           18           12
205             1         1698         1295
206             4         1101            9
207             2          440          352
208             4          900           35
209             2          204          208
210             1         1170          854
211             4         1250           12
212             1         1226         2428
213             2          632           83
214             2          345          199
215             2          278          241
216             1         1088         3185
217             1         1642         3123
218             3           18           37
219             3           19           53
220             4         1141           13
221             1         2623         3703
222             1         2039         2197
223             3           48           32
224             1         4660         1911
225             4          515           90
226             2          407           34
227             0           13         3297
228             3           53           24
229             3            9           44
230             2          133          240
231             2          125          382
232             0           23          567
233             3           39           11
234             2          462          261
235             3           44           21
236             4          961           28
237             2          271          153
238             3           31           23
239             2          291          495
240             2          343          139
241             3           50           50
242             4          596           31
243             1         1501         2678
244             3           30           33
245             1         2542         1454
246             3           15           18
247             2          143          265
248             0           49         6002
249             2          176          102
250             2          388          229
251             3           13           31
252             3           21           38
253             2          244          118
254             3           28           12
255             2          790          373
256             4         1488            9
257             2           39          349
258             2          635          126
259             2          730          120
260             2          421          395
261             2          382          119
262             1         1014         1589
263             3            1           31
264             0           35         3124
265             0           28         4429
266             2          214          584
267             2          366          878
268             2          123          153
269             2          399          336
270             2           55          474
271             4         1535           63
272             2          391           58
273             3           30           21
274             0           10         3046
275             1         3901         1270
276             3           26           47
277             1         1716         1698
278             4         2463           50
279             2          209          307
280             1         1793         1406
281             4         1204           12
282             2          226          246
283             2          204          275
284             2          323          266
285             2           91          113
286             4         1192           62
287             0           21         1582
288             3           31           22
289             2          134          370
290             3           68           24
291             2          212          116
292             0           26          718
293             1         2392         2658
294             2          414          257
295             3           13           15
296             2          229          322
297             1         4298         1190
298             2           46          513
299             1         1374          673
300             0            3         4896
301             2           88          328
