                4hr    4hr    8hr    8hr   16hr   16hr   24hr   24hr 
gene           +-20    +-2   +-20    +-5    +-5   +-20    +-2   +-20 
------------ ------ ------ ------ ------ ------ ------ ------ ------ 
anise        109.77  72.66  20.56  56.19  25.28   0.00  60.12  50.41 
kiwi          12.73  18.81  54.50  45.41  68.87  52.19  20.02  33.38 
carrot        62.25  60.75  52.48  36.12  20.47  27.77  59.04  40.98 
grape         15.64  22.59  50.08  35.41  68.81  70.85  35.55  68.25 
tangerine     47.88  31.65   9.36  20.77  54.15  22.44  56.57  71.97 
melon         52.94  56.61  65.61  24.75  28.00   0.00  64.52  49.56 
clementine     2.56  32.65  51.08  55.65  57.87  58.38  11.88  17.46 
spinach       84.98  65.22  52.50  63.15  34.64  32.18  48.84  47.48 
beet          11.93  25.22  20.58  26.43  60.33  69.68  44.47  51.03 
huckleberry   73.92  60.69  62.34  69.59  39.76  17.31  33.45  48.60 
lentil        49.72  44.88  16.71  24.28  39.94  65.69  62.89  40.72 
cauliflower   49.95  39.98  68.16  66.92  40.30  17.36  18.78  41.72 
