#gene	sample1	sample2	sample3	sample4	sample5	sample6
anise	629041	603748	509380	4731	6533	6479
apricot	279	169	123	190	154	151
artichoke	20145	8063	2391	215	126	63
arugula	2415	2613	3016	1770	6889	4455
asparagus	449	185	330	615	453	397
avocado	381	455	775	885	861	941
banana	1387	922	961	1095	1727	515
basil	1100	726	398	869	865	413
beet	61	18	28	84	76	66
blackberry	249	192	112	257	239	252
blueberry	791	497	341	1315	783	1072
broccoli	285022	314981	453465	4740	3581	3055
butternut	100589	189504	82422	2656	1242	2205
cabbage	1757564	970872	1748919	21875	12511	13009
cantaloupe	348175	169174	169463	2122	2939	3948
caraway	1486	2065	2410	2027	6761	1483
carrot	258620	577000	319579	2652	3323	842
cauliflower	2978	2156	2176	2839	4205	3791
cayenne	59605	83754	57247	1125	1444	589
celery	719619	917199	649099	5319	7762	10592
chard	117932	81579	58081	1184	830	764
cherry	266494	282654	401181	3025	2804	3356
chestnut	1133	728	1170	834	1085	1523
chickpea	38274	39654	30498	339	359	328
cilantro	28397	20887	25532	963	399	768
clementine	38052	52103	40694	263	281	291
coconut	246491	252090	114983	2004	3223	2134
coriander	337	107	200	216	371	126
cranberry	528048	904588	1077138	18430	7472	16369
cucumber	208471	53768	87466	1416	1468	1816
currant	106601	55501	108271	1067	2548	1709
eggplant	3517	1150	1843	4193	2418	1125
elderberry	2158	1897	1726	3347	1638	1271
endive	2788	3288	2638	4309	4136	5161
fennel	193759	484353	298603	3388	5580	2827
fig	1846691	1698946	1266800	23853	10778	14707
garlic	218208	185732	276255	4371	3422	3826
ginger	149	111	81	100	91	132
gooseberry	17216	17056	17367	249	188	184
grape	905	994	514	1829	419	831
grapefruit	103070	120826	194803	1987	1328	2586
guava	4748	1846	1638	4723	2291	3541
honeydew	219607	244320	92823	2531	2342	2948
horseradish	12618	14936	11715	145	221	516
huckleberry	179	269	136	283	245	307
juniper	2623	2423	2378	3240	2669	2121
kiwi	83237	149312	166929	1700	2935	2060
kohlrabi	47229	76300	46593	460	391	680
lavender	132592	161404	78254	2175	1434	1890
leek	38810	32261	25581	151	108	438
lentil	358844	137346	263162	5463	2931	6069
lettuce	958	778	135	572	674	1050
lime	3969	5397	2924	1968	3008	8531
maize	27573	40065	51413	1621	1115	823
mango	4310	3058	4415	6998	5548	3541
melon	907609	1121543	797169	4565	8105	2313
mulberry	224	207	116	261	297	135
mushroom	2656	2562	1613	3058	3208	3469
mustard	562	723	2091	2351	1383	1247
nectarine	52295	27029	62721	1176	483	507
okra	126700	146244	437259	3808	6620	5570
olive	2384	3621	2809	2805	2342	4792
onion	62689	253221	156858	838	955	1024
orange	38360	48402	34752	567	622	481
oregano	52236	22297	8360	408	726	214
papaya	1036	2060	1509	1360	4118	2541
parsley	0	2	0	1	2	0
parsnip	2006	2238	2418	1231	1933	1475
pea	1893	3264	3092	1695	3063	1954
peach	526	507	765	789	1937	1740
pear	388	331	495	641	392	438
pepper	11402	19176	13286	438	339	268
persimmon	509	413	650	880	759	967
pineapple	2946	2098	5531	4135	3401	6020
plantain	2850	4171	2663	1730	2901	2835
plum	1030	2553	3317	3365	1998	3434
pomegranate	182598	159165	188681	3662	2651	3437
potato	267	386	534	537	116	255
pumpkin	4540	4114	3953	7350	7524	21329
quince	148238	153480	76694	2342	1859	1696
radish	140179	103639	151202	1071	730	1083
raisin	759	320	501	504	399	737
raspberry	10335	7771	8999	16740	3176	9138
rhubarb	116813	193129	194047	3526	2357	2253
rosemary	1843	2177	6925	2569	3142	3796
rutabaga	2621	2021	1593	4386	1496	4313
sage	75307	120396	86864	850	599	1273
scallion	1956	2241	2066	1405	3475	2033
spinach	37132	25406	76848	1310	593	931
strawberry	1	3	4	8	5	4
tamarind	1450	1692	3720	2271	2446	2745
tangerine	46556	52996	63907	559	249	418
thyme	29181	37787	23152	998	273	712
tomato	3182	3974	1902	2507	2839	6165
turnip	18025	59197	32242	836	509	756
wasabi	116851	102763	161458	1067	1124	872
watercress	975	684	1712	636	2506	1920
watermelon	959095	285253	992463	12319	15257	21244
yam	109167	53460	83175	1006	1092	725
zucchini	523	714	1736	2839	3612	1342
OR4F5	4237	11624	5140	7293	7567	7694
FO538757.2	4	9	17	9	24	14
FO538757.1	641	1046	368	1105	604	1310
OR4F29	5371	3704	4013	6176	5727	2817
OR4F16	6723	4003	7249	4357	6474	8564
SAMD11	1792	3793	2329	4372	6825	3476
NOC2L	310	3080	2087	2465	3005	1880
KLHL17	2181	2656	1825	1923	1657	2833
PLEKHN1	498	1498	1188	1222	1626	1744
PERM1	660	247	380	277	283	769
HES4	2318	3167	1472	2467	5627	1704
ISG15	1689	1818	1422	2398	2419	2049
AGRN	4	5	3	3	21	8
RNF223	178	203	49	222	251	338
C1orf159	990	918	849	432	771	663
TTLL10	952	657	779	1527	544	682
TNFRSF18	30	32	15	54	33	27
TNFRSF4	1254	468	1145	1284	1755	1230
SDF4	1231	1012	1943	2033	2006	3497
B3GALT6	2732	10031	10472	17963	6879	8798
FAM132A	11014	9725	17792	9437	8099	12037
UBE2J2	4539	3943	3107	7794	1206	4201
SCNN1D	1405	1256	1221	783	1644	1155
ACAP3	7398	8231	7059	5766	23900	11004
PUSL1	798	2072	940	685	2132	2945
CPSF3L	2167	1714	2376	5211	3652	2402
CPTP	1221	851	2021	2296	1493	1885
TAS1R3	5298	2904	4682	5683	918	6424
DVL1	3318	3924	1644	3193	2770	7266
MXRA8	1543	4657	5409	3682	3506	3061
AURKAIP1	114	196	328	272	512	594
CCNL2	2321	1345	1975	2645	1374	1136
MRPL20	79	70	71	79	181	98
ANKRD65	872	863	589	677	403	564
TMEM88B	2132	2031	1568	1940	1630	3652
VWA1	19	31	26	20	38	22
ATAD3C	5922	4713	2376	11254	14767	11719
ATAD3B	834	1625	667	1994	1708	2675
ATAD3A	623	330	295	809	843	478
TMEM240	510	434	187	425	743	498
SSU72	2756	1580	2255	3628	2076	2765
AL645728.1	1871	1556	1880	1998	1240	1594
FNDC10	7518	4547	5251	5425	4181	6690
MIB2	5657	1539	1259	4341	3879	2553
MMP23B	190	264	321	138	184	282
CDK11B	2793	1863	1865	1849	1866	2611
SLC35E2B	2312	2790	1788	1029	1831	1423
CDK11A	788	2654	2222	2981	2769	4367
SLC35E2	314	323	241	889	343	378
NADK	869	474	482	558	855	817
GNB1	710	581	973	369	871	1265
CALML6	420	384	173	988	749	963
TMEM52	2869	3283	3727	4368	5772	3426
CFAP74	63	58	50	87	91	53
GABRD	1007	2275	2545	2485	1854	1595
PRKCZ	1443	621	839	1352	2370	1778
FAAP20	698	775	1142	859	1302	519
SKI	732	614	441	516	443	684
MORN1	1406	1423	1513	1853	1071	2622
RER1	379	292	638	1387	990	1302
PEX10	166	306	340	369	241	467
PLCH2	2099	3853	1956	3732	5397	5493
PANK4	353	278	398	518	718	483
HES5	3953	3324	2268	4014	7828	5541
TNFRSF14	976	3123	783	4834	766	2710
FAM213B	380	278	285	610	758	407
MMEL1	1232	1103	204	1157	1395	680
TTC34	2014	2640	2280	4230	2168	3319
ACTRT2	7286	2201	1983	4071	4843	3940
PRDM16	1340	987	1889	2776	1741	3247
ARHGEF16	1138	1737	1341	1657	1503	1900
MEGF6	4665	4883	2630	3385	8329	6396
TPRG1L	1159	366	549	1323	1596	1500
WRAP73	5636	6893	5003	6591	7021	6784
