#gene	sample4	sample5	sample6
anise	4731	6533	6479
apricot	190	154	151
artichoke	215	126	63
arugula	1770	6889	4455
asparagus	615	453	397
avocado	885	861	941
banana	1095	1727	515
basil	869	865	413
beet	84	76	66
blackberry	257	239	252
blueberry	1315	783	1072
broccoli	4740	3581	3055
butternut	2656	1242	2205
cabbage	21875	12511	13009
cantaloupe	2122	2939	3948
caraway	2027	6761	1483
carrot	2652	3323	842
cauliflower	2839	4205	3791
cayenne	1125	1444	589
celery	5319	7762	10592
chard	1184	830	764
cherry	3025	2804	3356
chestnut	834	1085	1523
chickpea	339	359	328
cilantro	963	399	768
clementine	263	281	291
coconut	2004	3223	2134
coriander	216	371	126
cranberry	18430	7472	16369
cucumber	1416	1468	1816
currant	1067	2548	1709
eggplant	4193	2418	1125
elderberry	3347	1638	1271
endive	4309	4136	5161
fennel	3388	5580	2827
fig	23853	10778	14707
garlic	4371	3422	3826
ginger	100	91	132
gooseberry	249	188	184
grape	1829	419	831
grapefruit	1987	1328	2586
guava	4723	2291	3541
honeydew	2531	2342	2948
horseradish	145	221	516
huckleberry	283	245	307
juniper	3240	2669	2121
kiwi	1700	2935	2060
kohlrabi	460	391	680
lavender	2175	1434	1890
leek	151	108	438
lentil	5463	2931	6069
lettuce	572	674	1050
lime	1968	3008	8531
maize	1621	1115	823
mango	6998	5548	3541
melon	4565	8105	2313
mulberry	261	297	135
mushroom	3058	3208	3469
mustard	2351	1383	1247
nectarine	1176	483	507
okra	3808	6620	5570
olive	2805	2342	4792
onion	838	955	1024
orange	567	622	481
oregano	408	726	214
papaya	1360	4118	2541
parsley	1	2	0
parsnip	1231	1933	1475
pea	1695	3063	1954
peach	789	1937	1740
pear	641	392	438
pepper	438	339	268
persimmon	880	759	967
pineapple	4135	3401	6020
plantain	1730	2901	2835
plum	3365	1998	3434
pomegranate	3662	2651	3437
potato	537	116	255
pumpkin	7350	7524	21329
quince	2342	1859	1696
radish	1071	730	1083
raisin	504	399	737
raspberry	16740	3176	9138
rhubarb	3526	2357	2253
rosemary	2569	3142	3796
rutabaga	4386	1496	4313
sage	850	599	1273
scallion	1405	3475	2033
spinach	1310	593	931
strawberry	8	5	4
tamarind	2271	2446	2745
tangerine	559	249	418
thyme	998	273	712
tomato	2507	2839	6165
turnip	836	509	756
wasabi	1067	1124	872
watercress	636	2506	1920
watermelon	12319	15257	21244
yam	1006	1092	725
zucchini	2839	3612	1342
OR4F5	7293	7567	7694
FO538757.2	9	24	14
FO538757.1	1105	604	1310
OR4F29	6176	5727	2817
OR4F16	4357	6474	8564
SAMD11	4372	6825	3476
NOC2L	2465	3005	1880
KLHL17	1923	1657	2833
PLEKHN1	1222	1626	1744
PERM1	277	283	769
HES4	2467	5627	1704
ISG15	2398	2419	2049
AGRN	3	21	8
RNF223	222	251	338
C1orf159	432	771	663
TTLL10	1527	544	682
TNFRSF18	54	33	27
TNFRSF4	1284	1755	1230
SDF4	2033	2006	3497
B3GALT6	17963	6879	8798
FAM132A	9437	8099	12037
UBE2J2	7794	1206	4201
SCNN1D	783	1644	1155
ACAP3	5766	23900	11004
PUSL1	685	2132	2945
CPSF3L	5211	3652	2402
CPTP	2296	1493	1885
TAS1R3	5683	918	6424
DVL1	3193	2770	7266
MXRA8	3682	3506	3061
AURKAIP1	272	512	594
CCNL2	2645	1374	1136
MRPL20	79	181	98
ANKRD65	677	403	564
TMEM88B	1940	1630	3652
VWA1	20	38	22
ATAD3C	11254	14767	11719
ATAD3B	1994	1708	2675
ATAD3A	809	843	478
TMEM240	425	743	498
SSU72	3628	2076	2765
AL645728.1	1998	1240	1594
FNDC10	5425	4181	6690
MIB2	4341	3879	2553
MMP23B	138	184	282
CDK11B	1849	1866	2611
SLC35E2B	1029	1831	1423
CDK11A	2981	2769	4367
SLC35E2	889	343	378
NADK	558	855	817
GNB1	369	871	1265
CALML6	988	749	963
TMEM52	4368	5772	3426
CFAP74	87	91	53
GABRD	2485	1854	1595
PRKCZ	1352	2370	1778
FAAP20	859	1302	519
SKI	516	443	684
MORN1	1853	1071	2622
RER1	1387	990	1302
PEX10	369	241	467
PLCH2	3732	5397	5493
PANK4	518	718	483
HES5	4014	7828	5541
TNFRSF14	4834	766	2710
FAM213B	610	758	407
MMEL1	1157	1395	680
TTC34	4230	2168	3319
ACTRT2	4071	4843	3940
PRDM16	2776	1741	3247
ARHGEF16	1657	1503	1900
MEGF6	3385	8329	6396
TPRG1L	1323	1596	1500
WRAP73	6591	7021	6784
TP73	4206	4458	4853
CCDC27	431	367	758
SMIM1	336	687	561
LRRC47	105	261	66
CEP104	4206	3333	4615
DFFB	465	281	453
C1orf174	9842	16345	8746
AJAP1	2137	1643	2490
NPHP4	98	118	98
KCNAB2	1780	1371	2199
CHD5	1281	787	407
RPL22	19178	15294	13837
RNF207	1624	4825	6347
ICMT	1283	1144	2164
HES3	27	17	5
GPR153	790	414	934
ACOT7	979	845	2689
HES2	4533	3693	3555
ESPN	14363	12818	17023
TNFRSF25	1536	435	658
PLEKHG5	4338	5392	7674
NOL9	13404	5798	5953
TAS1R1	1208	1989	2188
ZBTB48	3181	1476	2245
KLHL21	8956	5533	8542
PHF13	1729	887	3816
THAP3	2019	2921	3646
DNAJC11	1732	794	1391
CAMTA1	1170	3659	2662
VAMP3	18391	12449	12806
PER3	5808	6150	10286
UTS2	213	479	194
TNFRSF9	1733	807	944
PARK7	2624	2822	3985
ERRFI1	674	944	1150
SLC45A1	535	480	347
RERE	4275	4288	7880
ENO1	8752	3721	5611
CA6	3804	2846	1733
SLC2A7	3731	4160	5477
SLC2A5	970	973	945
GPR157	1604	810	1432
H6PD	230	136	261
SPSB1	221	379	222
SLC25A33	1382	755	1484
TMEM201	1374	1660	2025
PIK3CD	4778	3820	2711
CLSTN1	8819	4943	4423
AL357140.1	4151	4175	2111
CTNNBIP1	2564	3991	2563
LZIC	2853	2726	1804
NMNAT1	95	64	43
RBP7	2340	2195	3784
UBE4B	3986	3387	3249
KIF1B	33	54	149
PGD	3156	3244	1581
APITD1-CORT	16947	15634	12478
APITD1	1589	1429	1444
CORT	4371	3828	2397
DFFA	22	45	15
PEX14	4570	4195	4670
CASZ1	478	1504	948
C1orf127	1019	754	1249
TARDBP	3046	5049	2896
RP4-635E18.9	579	294	301
MASP2	6527	6433	5480
SRM	1939	2129	1823
EXOSC10	10504	11125	10309
MTOR	7372	4349	4483
ANGPTL7	791	1400	800
UBIAD1	336	187	171
DISP3	762	1141	719
FBXO2	3492	4578	10276
FBXO44	3265	6971	5784
FBXO6	37	61	59
MAD2L2	10066	4462	6096
DRAXIN	2991	3959	3989
AGTRAP	364	164	390
C1orf167	1703	632	2474
MTHFR	1162	1805	1902
CLCN6	109	104	89
NPPA	2888	2570	1746
NPPB	846	352	715
KIAA2013	1705	2109	2716
PLOD1	3387	2230	1381
MFN2	872	843	192
MIIP	2831	4012	3247
TNFRSF8	3085	1647	659
TNFRSF1B	802	1301	450
VPS13D	165	175	69
DHRS3	8167	3086	5464
AADACL4	4818	2512	3674
AADACL3	4184	4146	3591
