nectarine	cauliflower	pineapple	tangerine	watermelon	papaya	endive	ginger	lettuce	broccoli	mulberry	watercress	avocado	basil	onion	lime	guava	parsley	chickpea	horseradish	wasabi	artichoke	pumpkin	zucchini	type
91	47	48	272	84	110	434	0	68	42	49	303	152	75	107	2	316	194	97	10	80	0	0	42	6
235	1	309	36	98	70	2	1	239	69	1	3	169	175	129	3	356	77	113	223	126	1	2	108	4
0	1	43	0	104	37	2	5	155	78	1	0	8	3	425	1	0	40	19	231	49	2	0	131	0
2	78	19	1	231	78	15	2	115	97	523	123	217	0	105	0	0	166	42	34	61	0	3	11	2
2	334	235	0	21	79	150	84	104	88	37	596	45	5	49	530	0	109	152	84	244	103	235	21	3
415	163	114	183	64	23	20	244	74	42	360	137	92	357	219	241	129	60	4	95	208	53	300	55	7
2	73	52	0	106	6	284	0	42	24	134	390	89	2	38	0	0	105	235	37	79	0	0	214	2
60	255	258	113	54	83	106	0	153	6	617	289	27	45	83	0	265	197	99	171	32	0	4	106	6
2	2	129	0	33	145	0	0	206	49	0	1	39	0	116	0	0	7	38	284	199	0	0	66	0
0	0	101	1	128	144	0	278	91	31	1	1	45	1	49	203	1	148	255	37	104	500	63	272	1
36	394	207	18	170	121	194	280	16	70	204	194	39	164	145	53	362	62	71	69	270	128	55	71	7
0	2	84	0	67	63	0	0	91	99	1	0	95	0	21	0	1	215	69	135	92	0	1	27	0
0	48	132	0	227	161	276	207	91	84	137	30	35	0	40	59	0	178	14	53	173	200	136	108	3
0	1	50	0	41	20	0	191	105	101	1	0	1	0	258	293	0	226	59	110	109	121	286	67	1
329	0	162	111	235	9	0	0	210	27	2	0	109	307	80	1	53	144	75	77	96	0	0	141	4
0	197	89	2	69	94	281	1	174	125	481	157	244	0	156	0	0	152	30	294	99	2	0	3	2
83	58	163	181	219	38	26	199	78	65	86	308	78	156	130	120	462	37	143	25	124	379	254	298	7
0	1	73	0	174	160	1	199	73	221	0	0	58	1	144	85	2	116	83	51	121	172	385	67	1
1	0	88	2	86	67	0	0	289	280	4	5	40	1	137	0	4	89	134	137	109	0	0	57	0
1	254	86	1	145	263	98	113	46	74	396	77	167	0	183	83	1	126	100	71	149	536	366	93	3
117	307	74	181	109	149	210	2	33	9	175	114	40	179	107	2	290	183	143	84	171	3	1	240	6
0	0	40	0	156	75	0	137	91	100	0	0	57	0	109	146	0	106	100	180	50	244	42	16	1
53	0	28	190	25	72	2	277	234	22	2	0	114	245	111	249	239	6	40	57	122	95	20	48	5
117	1	17	134	139	229	2	1	109	88	1	0	126	496	72	0	227	30	157	39	22	0	1	93	4
0	179	28	0	73	52	112	321	99	112	147	361	133	1	71	483	0	20	50	109	267	145	54	20	3
354	1	197	612	332	137	1	199	79	48	3	0	122	264	3	173	129	86	186	184	119	81	65	103	5
348	1	184	364	222	90	1	1	121	180	2	4	227	158	106	4	160	49	158	41	92	1	0	176	4
1	2	17	0	131	54	0	2	58	352	0	3	105	3	8	5	2	192	9	169	114	2	0	106	0
92	2	27	60	58	58	0	411	24	56	3	1	89	150	218	238	282	240	105	55	24	327	145	102	5
0	425	79	0	164	24	14	0	53	170	25	331	46	4	92	2	1	129	11	55	57	0	0	123	2
76	304	60	147	124	124	153	98	57	59	197	370	38	363	34	278	359	207	108	108	79	77	146	116	7
351	0	44	145	39	74	2	3	102	26	0	3	257	189	51	0	215	205	62	6	23	0	0	71	4
0	47	115	0	79	209	345	243	238	56	262	123	83	1	127	645	0	46	4	8	55	189	527	99	3
27	1	79	225	46	71	0	0	32	32	0	0	64	31	37	2	257	111	64	50	159	1	1	33	4
27	533	105	386	165	119	125	0	24	16	85	130	207	236	122	1	347	195	115	44	37	2	1	76	6
202	0	82	178	281	56	1	250	162	69	3	1	50	312	105	339	246	49	129	40	409	174	92	90	5
1	275	54	0	20	224	356	23	139	22	69	36	113	5	72	236	2	95	68	62	57	97	155	87	3
