"logFC" "logCPM" "PValue" "FDR"
"grapefruit" -7.59196704660685 7.90304854147911 1.86703853967567e-33 3.73986489882433e-29
"kohlrabi" -7.10748250976717 8.55835781676739 5.41735733155347e-31 3.1760493340559e-27
"rosemary" -7.09862323684894 8.84368294318934 5.59403994238983e-31 3.1760493340559e-27
"plum" -7.08590766903411 9.89307361568641 6.34226815247546e-31 3.1760493340559e-27
"mustard" -7.04243700090675 11.8708972319775 1.47975461409348e-30 5.92819293498132e-27
"blackberry" -6.94630144136485 13.7749033661068 7.85913232102111e-30 2.33708667711762e-26
"fennel" -6.89364467130027 11.2743560941271 9.14140576520374e-30 2.33708667711762e-26
"raspberry" -6.8966774490018 11.6549716432768 9.33387919571713e-30 2.33708667711762e-26
"mulberry" -6.87186835015721 11.5914821350353 1.26948867514808e-29 2.72751308271956e-26
"fig" -6.86532935498843 11.524785057031 1.36164599007516e-29 2.72751308271956e-26
"chestnut" -6.77311693121375 11.2451662643646 4.34668156346824e-29 7.91530712707567e-26
"garlic" -6.69807929773092 9.78517282272774 9.71462340685139e-29 1.62161351218867e-25
"gooseberry" -6.66573434719044 7.35141790337601 3.50126460531432e-28 5.39491010069624e-25
"horseradish" -6.5625426828421 11.0229383374777 6.46489073048093e-28 9.24987330159025e-25
"lettuce" -6.50512369010593 10.6836916636621 1.30744584818868e-27 1.74596318567116e-24
"kiwi" -6.55023569820086 7.44104831101154 1.40855270267121e-27 1.76341994920043e-24
"cayenne" -6.48558076068302 11.5551727967293 1.86074288984563e-27 2.19250240155869e-24
"potato" -6.41728721902553 10.341182048422 3.91747560814314e-27 4.35949743926196e-24
"avocado" -6.40189567167643 8.90731692958894 4.64197669030194e-27 4.89386500439148e-24
"pumpkin" -6.40137934631196 10.5215357973604 4.90542278767482e-27 4.91302619299571e-24
"juniper" -6.38764513983109 8.65302393180124 5.94748607003643e-27 5.6730520699476e-24
"clementine" -6.33795295798299 10.545951660334 1.11472392135004e-26 9.94737859484958e-24
"tamarind" -6.32978183761106 9.03123767061207 1.1421781622562e-26 9.94737859484958e-24
"huckleberry" -6.36579790656997 7.47014497571508 1.44405779459037e-26 1.20524673680999e-23
"pepper" -6.28438147658008 9.86115199348868 2.06978058281641e-26 1.65839099417582e-23
"lavender" -6.29727271736133 11.986407396149 2.28833176844151e-26 1.76298360206353e-23
"basil" -6.265523265356 12.2559796487336 3.62392545870658e-26 2.68855003197598e-23
"cauliflower" -6.24823411761445 11.1462297495489 3.77169197988337e-26 2.69824150175157e-23
"lentil" -6.25641723993966 12.3610273739191 4.15600008544939e-26 2.87064957626333e-23
"parsley" -6.19960955714758 12.8319596617037 9.41031904862488e-26 6.28327002876683e-23
"watercress" -6.12516240791062 9.11805152616916 1.56355233022428e-25 1.0103069911846e-22
"beet" -6.10479242300273 7.92192811863562 2.7942730722062e-25 1.74912762216757e-22
"olive" -6.06388084920721 8.19508347010886 4.26664688291883e-25 2.58985465793173e-22
"melon" -5.94588089903898 11.3720759988369 1.86261752794811e-24 1.09735563830378e-21
"plantain" -5.93031507888464 5.75949104254374 3.58701379987578e-24 2.05289924072319e-21
"pomegranate" -5.86132669271778 5.63549085893341 8.50810415864819e-24 4.73405095560783e-21
"grape" -5.91837579444632 5.31742873125998 1.01405949267464e-23 5.48989883723396e-21
"pea" -5.78135064130719 10.3156800974059 1.3760474217833e-23 7.25358050151087e-21
"raisin" -5.73601823004796 10.7740424356813 2.55905823817946e-23 1.31437168125571e-20
"blueberry" -5.73020817244923 10.2824918002796 2.63331310819479e-23 1.31869737175625e-20
"asparagus" -5.70272627113489 9.30930629654545 3.42384046171961e-23 1.67275483630989e-20
"currant" -5.70461150625185 10.5414981709449 3.73611721636914e-23 1.78186104669263e-20
"guava" -5.6545847154307 11.5065348083162 7.70831103225736e-23 3.5908180997011e-20
"coriander" -5.63306446270038 12.1317873903127 1.12310153409e-22 5.11291973394472e-20
"rutabaga" -5.60245397549915 9.42901433628063 1.24101985686447e-22 5.52419305618939e-20
"chard" -5.71052182877119 3.43249818160565 2.49965313765067e-22 1.08849026087566e-19
"butternut" -5.30005328847365 11.3083193765162 6.66666030251409e-21 2.84127388339701e-18
"pineapple" -5.2092009182803 9.75697287417087 1.83983581771437e-20 7.67786484679928e-18
"turnip" -5.1832631318342 10.2887947146717 2.65709624816049e-20 1.0862101009572e-17
"artichoke" -5.03834516035566 9.78201113241396 1.56508355276354e-19 6.27003772908129e-17
"AGAP3" 2.3153806336419 3.58758139217462 2.83614435940194e-06 0.0011139374051604
"GPR149" 2.1901659853987 5.39865640998113 9.37534329981058e-06 0.00361149041612511
"GOT1L1" 2.12736903151404 1.8950185111599 2.36499506654019e-05 0.00893834267506917
"SBNO1" 2.06571438967509 5.68270003128213 2.46762107959221e-05 0.00915350330468734
"RC3H2" 2.0826450747359 2.88841462847225 2.62350019888532e-05 0.00955478772434033
"CACNA1G" 2.04462440368801 5.74307910052822 2.95119777137702e-05 0.0105563290282952
"VENTX" 2.00866686844258 5.67779793191086 3.96827958927545e-05 0.0139453699039959
"ZNF469" 1.98977679062618 5.58643460646737 4.6208411343193e-05 0.0159586325450948
"LCMT2" 1.96781395743756 4.69580430160282 6.67809325124694e-05 0.0226726925280894
"COX20" 1.96226629076616 2.24936793649467 7.88113568077957e-05 0.0263111714702826
"GNGT2" 1.95543378612252 1.8538111952064 9.2086803786016e-05 0.0302391928956998
"DNMT3B" -1.90671947375634 6.74035909848538 9.71435428770612e-05 0.0313851985059744
"CRAT" 1.89514621447733 5.73855189202488 9.97266561866525e-05 0.0317083277789657
"FAM72A" 1.8713128700264 5.52851642510021 0.000122424681959515 0.0383170125676727
"SH3D21" 1.89914064001148 2.34497459519857 0.000127579700624435 0.0393161382032009
"ZNF771" 1.86554877829691 3.37083484589271 0.000132501597264858 0.0402142347698845
"STAP1" 1.98848667595187 -0.110603808832912 0.000152212223496613 0.0455069111770247
"IL36B" 1.82052164266358 5.5912131842723 0.000178197958221629 0.0524924014873155
"FAM174B" 1.81695236683777 6.80142655754896 0.000195587393837702 0.0567798708110581
"BHMG1" 1.80206750514348 5.78669138444521 0.000206616194768936 0.0591246999630937
"PPCS" 1.79873904447143 4.1280693432997 0.00021768420584484 0.0614145398208167
"DYNLL2" 1.80455063143092 4.37858496147323 0.000221199819393737 0.0615396330871659
"TAS2R31" 1.80983885243305 4.84492248063849 0.000228976362120204 0.062830486433285
"MMS19" 1.80310781272935 4.98290181938017 0.000240593618583533 0.0651260915384696
"CEP70" 1.78563357066925 7.11421348524265 0.000247293215091107 0.0660470718865329
"MDFI" 1.77765886605833 4.03723891485302 0.000253534707883202 0.0661207636334654
"CAMKK2" 1.77946397457957 5.47638821268984 0.000254170974977626 0.0661207636334654
"CALCOCO2" 1.77238568480478 6.36398555595188 0.000271753311174255 0.0691206123145873
"PURG" 1.76625369780405 5.95823902946812 0.000274477285357821 0.0691206123145873
"AC109829.1" 1.77033899257638 6.36695231791202 0.000276054564683091 0.0691206123145873
"MAGEB16" 1.7633497762777 6.4417301025307 0.000292533999889012 0.0723425747132939
"TSPAN19" 2.14500530036749 -1.55395966543131 0.000298089918524024 0.0723824289158964
"SCD" 1.77372318722887 4.90406604679871 0.000299922200590055 0.0723824289158964
"POLR2H" 1.75404083052004 3.08024366767814 0.000333027941233225 0.0794152701290801
"BABAM1" 1.75666282461316 4.9847215428641 0.00034014340179097 0.080157793897352
"CENPU" 1.73995028516651 6.44558988706522 0.000348470689509479 0.0811653067623765
"MED27" 1.72414036647353 4.22254061167409 0.000388494256722511 0.089073408620142
"C6orf132" 1.72216700049242 6.24119276923356 0.000391316457419624 0.089073408620142
"RP11-723O4.6" 1.72188413047506 6.90834245936234 0.00040037318264317 0.0893031425110637
"SLC15A5" 1.74460647729671 2.3613543139595 0.000401242215865195 0.0893031425110637
"PSG6" 1.69612573009436 3.84256574214684 0.000458969228303531 0.101028710023605
