"logFC" "logCPM" "PValue" "FDR"
"melon" -7.56756919831408 12.9508429569467 5.20732973704603e-34 1.04308021962769e-29
"carrot" -7.4125801031301 11.6611380965604 5.899989076553e-33 5.90913405962165e-29
"onion" -7.40112190274628 10.3722085869191 9.41896545838627e-33 6.28904323656451e-29
"clementine" -7.30134581787715 8.51946844507268 5.8655049251729e-32 2.93729822890346e-28
"radish" -7.10731592662988 10.1142578095225 4.6439463974666e-31 1.86045780575307e-27
"leek" -7.12786153866361 8.0836430832166 6.01653108047123e-31 2.00861890121532e-27
"tangerine" -7.0677442077885 8.84170588189545 9.84711207205203e-31 2.81782145593249e-27
"wasabi" -6.96759467972261 10.0633561403097 2.90109422512375e-30 7.26397730293173e-27
"kohlrabi" -6.80690100245445 8.90201438558275 2.88925662237022e-29 6.43052215585532e-26
"cherry" -6.70267971176528 11.3840547300303 6.90507698592596e-29 1.38315597105083e-25
"chickpea" -6.73278385352478 8.25270351422806 7.93532141218203e-29 1.44502202915835e-25
"sage" -6.70897834623362 9.63476167325904 9.15670352627813e-29 1.52848273612398e-25
"fig" -6.61716524848147 13.7256862106362 1.17105486247197e-28 1.80441538078277e-25
"anise" -6.62776991700727 12.2596108812552 1.47597146047669e-28 2.11179888034346e-25
"celery" -6.60475086974994 12.6518578427539 1.80708599271907e-28 2.41318263467705e-25
"cabbage" -6.57019706061981 13.6214377686333 2.22845801922167e-28 2.78989016143932e-25
"broccoli" -6.54148440832024 11.5343018884337 5.44929013943331e-28 6.42086651664638e-25
"chard" -6.54386974297597 9.50292879841281 7.97978409871279e-28 8.88016973785089e-25
"yam" -6.45255455284745 9.4358417157827 2.63150878190446e-27 2.77430275843833e-24
"coconut" -6.3910149713697 10.7570119646333 4.49799782082823e-27 4.29771502641675e-24
"fennel" -6.38085059532614 11.4276888560762 4.50561707127711e-27 4.29771502641675e-24
"gooseberry" -6.38603734496092 7.18611988319851 7.6459482174062e-27 6.96163585194835e-24
"cantaloupe" -6.26341325333216 10.9208017612591 2.27340197991557e-26 1.97993543737778e-23
"cucumber" -6.22742094569031 9.9473281764241 4.34647239004639e-26 3.62767451854247e-23
"artichoke" -6.24975635660955 6.43362057481114 4.96812627254138e-26 3.98066149461106e-23
"orange" -6.19428407164444 8.42321616350028 8.08235621141478e-26 6.22683374118652e-23
"honeydew" -6.16429843900553 10.619828493765 8.6511204700832e-26 6.41817015319395e-23
"grapefruit" -6.15906607222915 10.2076930096353 9.98704616000603e-26 7.14466148682431e-23
"lavender" -6.09107180069129 10.0399895494352 2.47065073670564e-25 1.70653810023968e-22
"nectarine" -6.04259669454069 8.64975129967212 5.56135168086747e-25 3.71331451731521e-22
"quince" -6.01332958161759 10.0647955583976 6.67749899124233e-25 4.31474136430887e-22
"cayenne" -5.99745935434291 9.14928239814806 9.59803655561336e-25 6.0080709451716e-22
"rhubarb" -5.96172516894234 10.4784814934595 1.20348623024403e-24 7.30516141758125e-22
"cranberry" -5.90157979464441 12.7953545380024 1.65078776846008e-24 9.58028918877457e-22
