"logFC" "logCPM" "PValue" "FDR"
"radish" -8.02999958036314 10.269260608594 9.66044574409496e-36 1.93508388699966e-31
"anise" -7.75351017523142 12.4112835172665 3.87619623747038e-34 3.47897711759808e-30
"melon" -7.73325387867524 13.1093404948024 5.21038957255965e-34 3.47897711759808e-30
"carrot" -7.47126175780642 11.81972400628 1.4217120773138e-32 7.11957865516816e-29
"onion" -7.36005318956627 10.5312889742346 5.52272988831219e-32 2.0616901891897e-28
"chard" -7.34751622489203 9.65591616530509 6.17549854482461e-32 2.0616901891897e-28
"quince" -7.31617159896465 10.2108413960015 9.53389983436967e-32 2.55142782314892e-28
"wasabi" -7.31103780040966 10.2208662342534 1.01899169213676e-31 2.55142782314892e-28
"fig" -7.29210716106944 13.8797049711536 1.56220577445043e-31 3.47694931866851e-28
"sage" -7.25737093043428 9.78964906144846 1.98327534050909e-31 3.97269883457377e-28
"tangerine" -7.20710971129543 9.00039190750977 3.54193086423151e-31 6.44985610376558e-28
"cantaloupe" -7.17761137750919 11.0719156107095 5.93139346469125e-31 9.90097854093587e-28
"yam" -7.15399725026881 9.58958742766132 7.40621213371581e-31 1.12245141515753e-27
"leek" -7.15331825014785 8.24293298372185 7.9834175168444e-31 1.12245141515753e-27
"chickpea" -7.14900067675249 8.40870560812655 8.40535730985122e-31 1.12245141515753e-27
"gooseberry" -7.03845363795073 7.33940212758416 3.94120460311134e-30 4.93414183780771e-27
"broccoli" -7.01379784762963 11.6898602813526 5.00576257510363e-30 5.89826059658241e-27
"kohlrabi" -6.96751973031106 9.05974478199114 7.74792593198673e-30 8.62215024131257e-27
"cabbage" -6.9296247592343 13.7782362292116 1.60871263593589e-29 1.69600646370694e-26
"lavender" -6.9054260125108 10.1900518825064 1.85319910154619e-29 1.85607156015358e-26
"horseradish" -6.85472462755555 6.94583836017259 4.40642111741997e-29 4.20309625728759e-26
"garlic" -6.73083976079865 11.0612253658838 1.80723213434765e-28 1.64548485832354e-25
"cucumber" -6.71856059202974 10.1020203467272 2.01458328726718e-28 1.7545268620543e-25
"celery" -6.66879431099421 12.8105240043209 4.30759874317037e-28 3.59522960101857e-25
"currant" -6.6365484455651 9.73129212444568 5.64067369455654e-28 4.51953339102648e-25
"clementine" -6.56385773399637 8.68481404602097 1.30428880420614e-27 1.00485419373282e-24
"oregano" -6.54823126179771 8.02702340167093 1.52748354340352e-27 1.1332230688117e-24
"coconut" -6.51710916771006 10.9147450266164 2.73951050414802e-27 1.95982624673532e-24
"cranberry" -6.51935310127327 12.9466761147901 2.90324734802185e-27 1.99399563749141e-24
"artichoke" -6.52632105302167 6.58973309554049 2.98636459112088e-27 1.99399563749141e-24
"cherry" -6.4625670881503 11.5463760961193 5.65512437363396e-27 3.654122462202e-24
"butternut" -6.41111759892572 10.1957907478072 1.02049138015327e-26 6.30659912389002e-24
"orange" -6.40038646556872 8.57988953623864 1.03897843886162e-26 6.30659912389002e-24
"grapefruit" -6.3875726310426 10.3646833723338 1.38766203625344e-26 8.17537007299786e-24
"honeydew" -6.37838051428926 10.7761166845593 1.58990574162326e-26 9.09925768870159e-24
"fennel" -6.31059780704333 11.5875073994869 3.90602982033423e-26 2.17338009253097e-23
"nectarine" -6.2911654199132 8.80655860306668 4.27437578456587e-26 2.30830116181476e-23
"turnip" -6.28624652165487 8.43034408299775 4.37898478103743e-26 2.30830116181476e-23
"pomegranate" -6.26920968162487 10.7075798540398 6.34035112123164e-26 3.25650187972797e-23
"pepper" -6.26918248301678 7.11152088412341 6.54071963683763e-26 3.27542887613737e-23
"kiwi" -6.21360950868655 10.2989883533663 1.2601253460777e-25 6.15648068470304e-23
"cayenne" -6.20521969765724 9.30550971989508 1.34095741797101e-25 6.39540905699461e-23
"rhubarb" -6.16002486303339 10.6350219250138 2.5224402974255e-25 1.17504654878442e-22
"cilantro" -6.06934942748197 7.88471027123295 6.87143957169819e-25 3.1282228650156e-22
"spinach" -5.99546918647732 8.78326367279444 1.81589815519622e-24 8.08316798816343e-22
"thyme" -5.97085185542622 8.15456445255095 2.34862005689031e-24 1.02272192086021e-21
"watermelon" -5.97756705877357 12.7880418596331 2.75181864659254e-24 1.17280168744458e-21
"lentil" -5.93213339697319 11.2302296697469 4.60729829337679e-24 1.9226831690548e-21
"maize" -5.58096471659629 8.56307273378091 3.29239439656672e-22 1.345917390972e-19
"okra" -5.53345876608897 11.1405847186668 6.81575586438846e-22 2.7305281143913e-19
"OR1N2" -2.1443010916155 4.59680403735602 1.6107716474973e-05 0.00632654252372912
"RALGAPB" -1.87468793753982 6.01797431826733 0.000116824148841821 0.0450020101048178
"CST1" 1.82362734196796 6.93964055601218 0.000187921235225999 0.0710235898643771
"DLX5" 1.81236131323121 3.1902063590278 0.000223721788796345 0.0829883546551775
"ENOX1" 1.76861764333977 5.18153114889916 0.000257782026421903 0.0938842140228571
"EXOC7" 1.78263682000385 3.8454433047676 0.000263501892281231 0.0942536857908097
"GOT1L1" -1.78346987180264 4.32144585015922 0.000282785122771416 0.0993766455128815
"DDX46" 1.73289964064918 7.27712249387634 0.000373209658013387 0.128892459649416
"PROSER3" -1.7274639639356 4.3093027009536 0.000426266330886969 0.144721031762659
"ZNF735" 1.68743474701862 3.76093215441877 0.000526064899510228 0.175626766701489
"SYTL1" -1.68646919563745 3.98586833706797 0.000544139455060432 0.178682908595336
"CLDN17" 1.68012587444866 3.95455333632517 0.00056970400173187 0.184060336430501
"RP11-40A7.2" -1.6523076026122 5.28172384040988 0.000600264707942343 0.190855593091954
"NLRP10" 1.64591182253854 5.36427344079885 0.000625086925668684 0.195642440751084
"F5" -1.66647956896858 4.61318367640361 0.000660412997816205 0.202407095244381
"WDR72" 1.649600763417 6.6396672318322 0.000683856333636824 0.202407095244381
"KCNS3" 1.65651580944754 4.05629081218841 0.000684729490121754 0.202407095244381
"TCAF2" 1.63480306624336 5.77055901735425 0.00069240522243598 0.202407095244381
"ANO2" -1.65913280592341 3.02513378609258 0.000705222661393496 0.202407095244381
