#gene	sample4	sample5	sample6	sample7	sample8	sample9
anise	4731	6533	6479	2938	4383	2777
apricot	190	154	151	378	184	186
artichoke	215	126	63	167	108	140
arugula	1770	6889	4455	4623	2374	4852
asparagus	615	453	397	348	223	595
avocado	885	861	941	252	422	964
banana	1095	1727	515	1144	1174	644
basil	869	865	413	932	1289	2101
beet	84	76	66	38	26	39
blackberry	257	239	252	81	351	156
blueberry	1315	783	1072	995	719	668
broccoli	4740	3581	3055	4263	3344	2588
butternut	2656	1242	2205	1900	2204	1370
cabbage	21875	12511	13009	12610	24273	9055
cantaloupe	2122	2939	3948	1749	993	3195
caraway	2027	6761	1483	4695	4081	4300
carrot	2652	3323	842	2732	3277	2132
cauliflower	2839	4205	3791	6355	2167	847
cayenne	1125	1444	589	567	2025	808
celery	5319	7762	10592	7076	15551	5471
chard	1184	830	764	488	357	1134
cherry	3025	2804	3356	3955	4485	5039
chestnut	834	1085	1523	1624	1232	1235
chickpea	339	359	328	417	399	139
cilantro	963	399	768	587	600	206
clementine	263	281	291	105	760	865
coconut	2004	3223	2134	2239	4111	2029
coriander	216	371	126	149	260	309
cranberry	18430	7472	16369	11538	7732	14954
cucumber	1416	1468	1816	1640	873	1642
currant	1067	2548	1709	1261	1123	1015
eggplant	4193	2418	1125	3625	2523	2860
elderberry	3347	1638	1271	2869	3412	2522
endive	4309	4136	5161	5381	3265	5879
fennel	3388	5580	2827	8910	3870	2606
fig	23853	10778	14707	15504	5536	17378
garlic	4371	3422	3826	3258	1543	3210
ginger	100	91	132	165	126	152
gooseberry	249	188	184	203	97	191
grape	1829	419	831	995	1048	2432
grapefruit	1987	1328	2586	1349	3328	1577
guava	4723	2291	3541	4090	2668	2758
honeydew	2531	2342	2948	1504	3706	3162
horseradish	145	221	516	153	128	143
huckleberry	283	245	307	165	187	253
juniper	3240	2669	2121	3798	4604	1924
kiwi	1700	2935	2060	2531	2672	1528
kohlrabi	460	391	680	595	429	676
lavender	2175	1434	1890	1926	643	1315
leek	151	108	438	348	196	305
lentil	5463	2931	6069	3481	4010	8072
lettuce	572	674	1050	1108	637	352
lime	1968	3008	8531	3174	6741	4298
maize	1621	1115	823	948	1394	768
mango	6998	5548	3541	3647	2577	3708
melon	4565	8105	2313	4976	7079	4558
mulberry	261	297	135	119	109	51
mushroom	3058	3208	3469	1255	1323	5389
mustard	2351	1383	1247	1971	2145	1064
nectarine	1176	483	507	472	782	1015
okra	3808	6620	5570	3683	7242	8255
olive	2805	2342	4792	1695	2255	1410
